task_id,set,submitted_utc,completed_utc,mode,quality_tier,channel,aspect_ratio,requested_resolution,duration_seconds,requested_geometry,delivered_geometry,credits_used,credits_refunded,verification,note
sd2_8e3zk4K4J5DJ,adapter-run,2026-08-14T11:18:20.411Z,2026-08-14T11:22:48.384Z,text-to-video,pro,standard,16:9,1080p,10,16:9 1080p 10s,1280x720,240,0,ffprobe-local,ai-time-to-die-ep3-round-01-20260814
sd2_ZOkxBXNPozq9,adapter-run,2026-08-14T07:43:31.716Z,2026-08-14T07:47:12.727Z,text-to-video,pro,standard,9:16,720p,10,9:16 720p 10s,496x864,110,0,ffprobe-local,ai-time-to-die-t5-round-01-20260814
sd2_BqG5Ao2vDEwX,adapter-run,2026-08-14T09:38:29.961Z,2026-08-14T09:41:34.167Z,text-to-video,pro,standard,16:9,1080p,10,16:9 1080p 10s,1280x720,240,0,ffprobe-local,ai-time-to-die-t6-round-01-20260814
sd2_neAxLJRdpz4B,adapter-run,2026-08-09T10:22:26.086Z,2026-08-09T10:26:20.680Z,text-to-video,standard,standard,9:16,1080p,10,9:16 1080p 10s,720x1280,145,0,ffprobe-local,duotone-111-1080p-canary-20260809
sd2_NYBz0WdGkEwl,adapter-run,2026-08-11T08:29:31.387Z,2026-08-11T08:33:53.293Z,image-to-video,pro,standard,9:16,1080p,5,9:16 1080p 5s,720x1280,120,0,recorded-vendor-log,duotone-noir-round-01-canary-01-telephone-20260811
sd2_d9156Xwg7EoM,adapter-run,2026-08-11T08:30:01.467Z,2026-08-11T08:32:34.714Z,image-to-video,pro,standard,9:16,1080p,5,9:16 1080p 5s,720x1280,120,0,recorded-vendor-log,duotone-noir-round-01-canary-02-stair-threshold-20260811
sd2_lDe5PmO0LxZv,adapter-run,2026-08-11T08:30:21.236Z,2026-08-11T08:33:53.246Z,image-to-video,pro,standard,9:16,1080p,5,9:16 1080p 5s,720x1280,120,0,recorded-vendor-log,duotone-noir-round-01-canary-03-mesh-speakeasy-20260811
sd2_m6BEGlgAlz7j,adapter-run,2026-08-11T09:59:42.496Z,2026-08-11T10:02:28.285Z,image-to-video,pro,standard,9:16,720p,5,9:16 720p 5s,496x864,55,0,inferred,duotone-noir-stage-02-canary-01-telephone-20260811
sd2_PZ6z3vKB2EbV,adapter-run,2026-08-11T09:59:58.100Z,2026-08-11T10:02:53.477Z,image-to-video,pro,standard,9:16,720p,5,9:16 720p 5s,496x864,55,0,inferred,duotone-noir-stage-02-canary-02-stair-threshold-20260811
sd2_aQWE1mjdkE6Z,adapter-run,2026-08-11T10:00:15.003Z,2026-08-11T10:03:31.854Z,image-to-video,pro,standard,9:16,720p,5,9:16 720p 5s,496x864,55,0,inferred,duotone-noir-stage-02-canary-03-mesh-speakeasy-20260811
sd2_NYBz0WklDEwl,adapter-run,2026-08-09T10:18:49.828Z,2026-08-09T10:22:21.721Z,text-to-video,standard,standard,9:16,1080p,10,9:16 1080p 10s,720x1280,145,0,ffprobe-local,here-lies-trouble-1080p-canary-20260809
sd2_mZLEqjWpkz71,adapter-run,2026-08-09T06:53:13.694Z,2026-08-09T06:55:00.161Z,text-to-video,mini,standard,9:16,720p,10,9:16 720p 10s,496x864,22,0,ffprobe-local,here-lies-trouble-installment-01-canary-20260808
sd2_8e3zk4vja5DJ,adapter-run,2026-08-12T11:15:28.708Z,2026-08-12T11:18:28.988Z,image-to-video,pro,standard,9:16,720p,10,9:16 720p 10s,496x864,110,0,recorded-vendor-log,hlt-frogtown-v2-full-length-scene-round-01-job-a-20260812
sd2_d9156XPd1EoM,adapter-run,2026-08-12T11:22:26.959Z,2026-08-12T11:26:29.355Z,image-to-video,pro,standard,9:16,720p,10,9:16 720p 10s,496x864,110,0,recorded-vendor-log,hlt-frogtown-v2-full-length-scene-round-01-job-b-20260812
sd2_LZkxD3qye5b1,adapter-run,2026-08-12T15:42:00.591Z,2026-08-12T15:44:41.604Z,image-to-video,pro,standard,9:16,720p,10,9:16 720p 10s,496x864,110,0,recorded-vendor-log,hlt-frogtown-v2-full-length-scene-round-01-job-c-20260812
